PN	Section	Features	Grade	Params_preview
TP1562A	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP1562A | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.5 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 900 | GBW (Typ) (MHz): 6 | Slew Rate (Typ) (V/μs): 4.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 100 |
TP1562A-S	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP1562A-S | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.5 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 900 | GBW (Typ) (MHz): 6 | Slew Rate (Typ) (V/μs): 4.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 100
TP1564A	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP1564A- | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.5 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 900 | GBW (Typ) (MHz): 6 | Slew Rate (Typ) (V/μs): 4.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 100 
TP17	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP17 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 2000 | GBW (Typ) (MHz): 6 | Slew Rate (Typ) (V/μs): 20 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) (mA)
TP181	电流信号检测放大器	电流检测放大器 工业级	工业级	Part Number: TP181 | Status: Production | Rating: Industrial | Features: / | VCM Min: -0.3 | VCM Max: 36 | Vos drift Typ (μV/c): 0.1 | Input Direction: Bi-dir | CMRR (Min) (dB): 95 | BW (kHz): 48 at G=50;30 at G=100;20 at | Gain Option: G = 50, 100, 200 | GE Max at full temp range (%): 1 | GE Drift,
TP182	电流信号检测放大器	电流检测放大器 工业级	工业级	Part Number: TP182 | Status: Production | Rating: Industrial | Features: / | VCM Min: -0.3 | VCM Max: 36 | Vos drift Typ (μV/c): 0.1 | Input Direction: Bi-dir | CMRR (Min) (dB): 95 | BW (kHz): 48 at G=50;30 at G=100;20 at | Gain Option: G = 50, 100, 200, 500 | GE Max at full temp range (%): 1 | GE D
TP1941	比较器	比较器 工业级	工业级	Part Number: TP1941 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 1.8 | Number of Channels: 1 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 46 | Propagation Delay (ns): 93 | Vos (offset voltage at 25°C) (max) (mV): 3 | Input bias current (typ) (nA): 0.006 | Ra
TP1942	比较器	比较器 工业级	工业级	Part Number: TP1942 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 1.8 | Number of Channels: 2 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 46 | Propagation Delay (ns): 93 | Vos (offset voltage at 25°C) (max) (mV): 3 | Input bias current (typ) (nA): 0.006 | Ra
TP1961	比较器	比较器 工业级	工业级	Part Number: TP1961 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 2.5 | Number of Channels: 1 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 2400 | Propagation Delay (ns): 7 | Vos (offset voltage at 25°C) (max) (mV): 10 | Input bias current (typ) (nA): 0.006 | 
TP1962	比较器	比较器 工业级	工业级	Part Number: TP1962 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 2.5 | Number of Channels: 2 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 2400 | Propagation Delay (ns): 7 | Vos (offset voltage at 25°C) (max) (mV): 10 | Input bias current (typ) (nA): 0.006 | 
TP1981	比较器	比较器 工业级	工业级	Part Number: TP1981 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 2.5 | Number of Channels: 1 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 4100 | Propagation Delay (ns): 3.5 | Vos (offset voltage at 25°C) (max) (mV): 20 | Input bias current (typ) (nA): N/A | 
TP2011	比较器	比较器 工业级	工业级	Part Number: TP2011 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 1.6 | Number of Channels: 1 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 0.4 | Propagation Delay (ns): 14000 | Vos (offset voltage at 25°C) (max) (mV): 12 | Input bias current (typ) (nA): 0.006
TP2012	比较器	比较器 工业级	工业级	Part Number: TP2012 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 1.6 | Number of Channels: 2 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 0.4 | Propagation Delay (ns): 14000 | Vos (offset voltage at 25°C) (max) (mV): 12 | Input bias current (typ) (nA): 0.006
TP2021	比较器	比较器 工业级	工业级	Part Number: TP2021 | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 1.6 | Number of Channels: 1 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 0.4 | Propagation Delay (ns): 14000 | Vos (offset voltage at 25°C) (max) (mV): 12 | Input bias current (typ) (nA): 0.006
TP2021A	比较器	比较器 工业级	工业级	Part Number: TP2021A | Status: Production | Rating: Industrial | Output Type: Push-Pull | Vs (Min) (V): 1.6 | Number of Channels: 1 | Vs (max) (V): 5.5 | Iq per channel (typ) (μA): 0.4 | Propagation Delay (ns): 14000 | Vos (offset voltage at 25°C) (max) (mV): 12 | Input bias current (typ) (nA): 0.00
TP2111	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2111 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 0.6 | GBW (Typ) (MHz): 0.01 | Slew Rate (Typ) (V/μs): 0.006 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA):
TP2112	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2112 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 0.6 | GBW (Typ) (MHz): 0.01 | Slew Rate (Typ) (V/μs): 0.006 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA):
TP2121	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2121 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 0.95 | GBW (Typ) (MHz): 0.018 | Slew Rate (Typ) (V/μs): 0.01 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 
TP2122	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2122 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 0.95 | GBW (Typ) (MHz): 0.018 | Slew Rate (Typ) (V/μs): 0.01 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 
TP2124	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2124 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 0.95 | GBW (Typ) (MHz): 0.018 | Slew Rate (Typ) (V/μs): 0.01 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 
TP2191	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2191 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 0.9 | GBW (Typ) (MHz): 0.018 | Slew Rate (Typ) (V/μs): 0.01 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 2
TP2261	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2261 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1500 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 15 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) 
TP2261-Q100	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2261-Q100 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1500 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 15 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (
TP2262	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2262 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1000 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 15 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) 
TP2262-Q100	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2262-Q100 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1000 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 15 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (
TP2264	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2264 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1000 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 15 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) 
TP2264-Q100	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2264-Q100 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1000 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 15 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (
TP2271	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2271 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 3.1 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 2000 | GBW (Typ) (MHz): 7 | Slew Rate (Typ) (V/μs): 20 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) 
TP2272	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2272 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 3.1 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1600 | GBW (Typ) (MHz): 7 | Slew Rate (Typ) (V/μs): 20 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) 
TP2274	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2274 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 3.1 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1600 | GBW (Typ) (MHz): 7 | Slew Rate (Typ) (V/μs): 20 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) 
TP2301	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2301 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 5000 | GBW (Typ) (MHz): 20 | Slew Rate (Typ) (V/μs): 25 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130
TP2302	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2302 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 5000 | GBW (Typ) (MHz): 20 | Slew Rate (Typ) (V/μs): 25 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130
TP2304	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2304 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 5000 | GBW (Typ) (MHz): 20 | Slew Rate (Typ) (V/μs): 25 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130
TP2311	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2311 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1950 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130 
TP2312	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2312 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1950 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130 
TP2314	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2314 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1950 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130 
TP2331	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2331 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 280 | GBW (Typ) (MHz): 1.6 | Slew Rate (Typ) (V/μs): 0.84 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 1
TP2332	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2332 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 280 | GBW (Typ) (MHz): 1.6 | Slew Rate (Typ) (V/μs): 0.84 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 1
TP2402	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2402 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 5000 | GBW (Typ) (MHz): 20 | Slew Rate (Typ) (V/μs): 25 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130
TP2404	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2404 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 5000 | GBW (Typ) (MHz): 20 | Slew Rate (Typ) (V/μs): 25 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130
TP2411	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2411 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1950 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130 
TP2412	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2412 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1950 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130 
TP2414	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2414 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1950 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 130 
TP2431	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2431 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 280 | GBW (Typ) (MHz): 1.6 | Slew Rate (Typ) (V/μs): 0.84 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 1
TP2432	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2432 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 280 | GBW (Typ) (MHz): 1.6 | Slew Rate (Typ) (V/μs): 0.84 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 1
TP2434	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP2434 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.2 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 280 | GBW (Typ) (MHz): 1.6 | Slew Rate (Typ) (V/μs): 0.84 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 1
TP2581	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2581 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 5400 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 8 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) (m
TP2582	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2582 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 4000 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 8 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) (m
TP2584	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP2584 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 3 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 4000 | GBW (Typ) (MHz): 10 | Slew Rate (Typ) (V/μs): 8 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) (m
TP27	高压运算放大器(Vs＞10V)	运放 工业级	工业级	Part Number: TP27 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 4.5 | Supply Voltage (Max) (V): 36 | Iq per channel (typ) (μA): 1600 | GBW (Typ) (MHz): 6 | Slew Rate (Typ) (V/μs): 5 | Rail-Rail In: No, to V- only | Rail-Rail Out: Yes | Ishort (Typ) (mA
TP321	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP321 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.1 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 87 | GBW (Typ) (MHz): 1 | Slew Rate (Typ) (V/μs): 1 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 40 | Vos (
TP324	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP324 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.1 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 87 | GBW (Typ) (MHz): 1 | Slew Rate (Typ) (V/μs): 1 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 40 | Vos (
TP358	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP358 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.1 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 87 | GBW (Typ) (MHz): 1 | Slew Rate (Typ) (V/μs): 1 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 40 | Vos (
TP5531	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5531 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 55 | GBW (Typ) (MHz): 0.35 | Slew Rate (Typ) (V/μs): 0.16 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 6
TP5532	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5532 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 55 | GBW (Typ) (MHz): 0.35 | Slew Rate (Typ) (V/μs): 0.16 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 6
TP5534	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5534 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 55 | GBW (Typ) (MHz): 0.35 | Slew Rate (Typ) (V/μs): 0.16 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 6
TP5551	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5551 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1400 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 2.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 6
TP5552	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5552 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 950 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 2.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 60
TP5554	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5554 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 950 | GBW (Typ) (MHz): 3.5 | Slew Rate (Typ) (V/μs): 2.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 60
TP5591	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5591 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1400 | GBW (Typ) (MHz): 3.3 | Slew Rate (Typ) (V/μs): 2.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 6
TP5592	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5592 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1400 | GBW (Typ) (MHz): 3.3 | Slew Rate (Typ) (V/μs): 2.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 6
TP5594	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP5594 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 1.8 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 1400 | GBW (Typ) (MHz): 3.3 | Slew Rate (Typ) (V/μs): 2.5 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 6
TP6001	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP6001 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.1 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 130 | GBW (Typ) (MHz): 1.3 | Slew Rate (Typ) (V/μs): 0.7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 50 |
TP6002	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP6002 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.1 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 130 | GBW (Typ) (MHz): 1.3 | Slew Rate (Typ) (V/μs): 0.7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 50 |
TP6004	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TP6004 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.1 | Supply Voltage (Max) (V): 6 | Iq per channel (typ) (μA): 130 | GBW (Typ) (MHz): 1.3 | Slew Rate (Typ) (V/μs): 0.7 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 50 |
TP8480	RS-485 收发器	RS-485 工业级	工业级	Part Number: TP8480 | Status: Production | Rating: Industrial | Drivers Per Package: 0 | Receivers Per Package: 1 | VCC (Min) (V): 3 | VCC (Max) (V): 5.5 | Data Rate (Max) (kBPS): 250 | ICC (Max) (mA): 0.6 | ESD HBM (kV): 12 | IEC-61000-4-2 Contact (kV): N/A | Operating Temperature Range (℃): -40 to
TP8481	RS-485 收发器	RS-485 工业级	工业级	Part Number: TP8481 | Status: Production | Rating: Industrial | Drivers Per Package: 1 | Receivers Per Package: 0 | VCC (Min) (V): 3 | VCC (Max) (V): 5.5 | Data Rate (Max) (kBPS): 250 | ICC (Max) (mA): 0.35 | ESD HBM (kV): 12 | IEC-61000-4-2 Contact (kV): N/A | Operating Temperature Range (℃): -40 t
